timestamp,formatted_time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
82637309,01-01 16:57:17:309,-3,31,-27,-3,9,2,1,7
82637360,01-01 16:57:17:360,1,12,-36,-20,3,1,-2,-4
82637405,01-01 16:57:17:405,0,8,5,-2,-5,-9,7,-7
82637452,01-01 16:57:17:452,-1,2,-3,-6,-2,4,1,1
82637512,01-01 16:57:17:512,-1,-6,9,1,2,0,-3,-3
82637563,01-01 16:57:17:563,1,1,14,1,-1,-1,-5,-7
82637611,01-01 16:57:17:611,-4,16,13,1,1,0,2,0
82637662,01-01 16:57:17:662,0,2,3,0,-2,-1,-1,3
82637714,01-01 16:57:17:714,-4,-20,8,-4,-4,2,7,4
82637765,01-01 16:57:17:765,0,-2,16,2,-1,-1,-1,-4
82637812,01-01 16:57:17:812,0,-7,-11,4,3,-3,-3,0
82637863,01-01 16:57:17:863,-2,-26,40,1,-5,-3,-1,-4
82637911,01-01 16:57:17:911,-4,43,-37,-6,-2,-6,-3,2
82637970,01-01 16:57:17:970,17,-12,-59,12,12,2,2,2
82638013,01-01 16:57:18:13,-9,59,17,-67,-12,-3,-7,-2
82638066,01-01 16:57:18:66,5,-14,-96,-2,-7,-2,-2,-2
82638112,01-01 16:57:18:112,-3,18,-32,-17,-4,1,6,3
82638163,01-01 16:57:18:163,1,-1,24,-15,-5,-1,-1,0
82638223,01-01 16:57:18:223,-5,-11,8,-21,-1,-2,-2,-3
82638253,01-01 16:57:18:253,0,-9,-22,-14,1,-2,4,2
82638313,01-01 16:57:18:313,1,-10,-48,2,6,-1,3,-3
82638373,01-01 16:57:18:373,-4,8,-18,20,0,1,1,1
82638426,01-01 16:57:18:426,-3,-7,-76,-5,0,-2,-7,-3
82638473,01-01 16:57:18:473,3,21,74,5,2,-1,-3,2
82638515,01-01 16:57:18:515,-1,-34,-77,8,1,1,1,-1
82638575,01-01 16:57:18:575,-6,-7,39,25,17,-1,-3,-3
82638628,01-01 16:57:18:628,-3,22,14,-14,-8,-1,3,-2
82638674,01-01 16:57:18:674,0,-6,-9,-21,-6,-3,3,2
82638725,01-01 16:57:18:725,-2,18,41,-12,-5,-4,-1,0
82638773,01-01 16:57:18:773,2,12,66,4,-10,-6,-3,0
82638833,01-01 16:57:18:833,-4,-2,-48,-16,-13,0,1,-1
82638875,01-01 16:57:18:875,4,1,-9,24,4,-5,-5,-1
82638935,01-01 16:57:18:935,5,4,-3,13,3,-1,2,0
82638974,01-01 16:57:18:974,2,-1,-4,2,-7,-3,-5,2
82639036,01-01 16:57:19:36,-3,3,47,48,5,3,-3,-1
82639085,01-01 16:57:19:85,2,-1,-12,3,9,0,-6,-1
82639133,01-01 16:57:19:133,-2,-3,-16,5,-5,-2,1,0
82639192,01-01 16:57:19:192,3,-2,-20,27,1,-4,4,-1
82639235,01-01 16:57:19:235,0,-23,-63,-26,2,7,10,4
82639289,01-01 16:57:19:289,-4,-20,16,22,0,-4,-3,-3
82639343,01-01 16:57:19:343,3,2,38,-39,-7,-3,1,1
82639396,01-01 16:57:19:396,-9,-31,-17,-80,-11,4,0,-4
82639438,01-01 16:57:19:438,-1,5,83,80,16,6,5,3
82639492,01-01 16:57:19:492,-2,22,20,4,8,0,-1,0
82639535,01-01 16:57:19:535,3,-10,2,-28,-8,-5,-5,-2
82639589,01-01 16:57:19:589,-3,-3,-64,42,1,1,-6,-3
82639649,01-01 16:57:19:649,3,-23,-66,-12,-3,-4,-4,-2
82639694,01-01 16:57:19:694,0,0,41,-80,-10,-3,-1,0
82639755,01-01 16:57:19:755,-1,18,-9,6,5,-3,-2,1
82639798,01-01 16:57:19:798,3,-9,33,-4,-3,-4,0,0
82639850,01-01 16:57:19:850,1,-4,-57,-29,-3,1,1,2
82639896,01-01 16:57:19:896,-2,-5,-9,-10,-7,0,-2,-3
82639955,01-01 16:57:19:955,-4,4,30,6,-5,-2,-3,-3
82639994,01-01 16:57:19:994,2,-8,-1,6,5,1,1,-1
82640054,01-01 16:57:20:54,-2,0,-36,-1,5,0,-2,-1
82640098,01-01 16:57:20:98,0,1,14,-3,2,-4,-1,0
82640158,01-01 16:57:20:158,1,-3,-38,-2,3,-3,-2,-1
82640210,01-01 16:57:20:210,-1,-2,-9,-8,-1,-5,-2,-2
82640257,01-01 16:57:20:257,5,-16,1,4,-5,-31,-22,-3
82640300,01-01 16:57:20:300,0,5,54,8,1,5,-2,0
82640360,01-01 16:57:20:360,0,3,1,-16,-9,-8,-7,-2
82640413,01-01 16:57:20:413,3,-2,5,0,3,-4,-9,-2
82640458,01-01 16:57:20:458,-8,-3,32,-8,5,24,19,6
82640510,01-01 16:57:20:510,0,3,-28,-9,1,17,11,0
