timestamp,formatted_time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
81978910,01-01 16:46:18:910,-9,-9,-62,-15,-1,0,1,1
81978956,01-01 16:46:18:956,7,20,80,16,2,1,0,0
81979016,01-01 16:46:19:16,-4,-17,-28,6,0,2,1,-2
81979055,01-01 16:46:19:55,-12,-22,-33,-25,-4,0,-1,0
81979113,01-01 16:46:19:113,-7,-13,-4,2,-2,-13,-9,-5
81979157,01-01 16:46:19:157,1,13,45,10,12,2,5,13
81979210,01-01 16:46:19:210,-5,-12,-16,-9,-14,-15,-6,-6
81979270,01-01 16:46:19:270,-5,-16,21,-4,-5,-11,-2,-5
81979316,01-01 16:46:19:316,-3,-5,-38,4,23,10,1,-2
81979376,01-01 16:46:19:376,-6,-3,-35,5,-8,16,73,29
81979413,01-01 16:46:19:413,4,-10,-18,5,11,3,-14,0
81979473,01-01 16:46:19:473,3,30,-51,-16,-16,-15,-14,-11
81979518,01-01 16:46:19:518,-1,10,53,11,-2,-1,-1,-6
81979578,01-01 16:46:19:578,-3,-3,-18,-6,-3,-1,-4,0
81979623,01-01 16:46:19:623,-4,-7,69,9,-4,-6,-7,-7
81979676,01-01 16:46:19:676,-3,-1,-9,15,9,5,-1,1
81979722,01-01 16:46:19:722,-22,-11,-11,19,3,-3,-3,-3
81979773,01-01 16:46:19:773,0,-10,-34,-13,1,10,1,-2
81979835,01-01 16:46:19:835,0,13,-107,-26,-11,-13,-6,1
81979878,01-01 16:46:19:878,-14,-26,-2,-3,2,3,9,-1
81979924,01-01 16:46:19:924,-4,-92,-14,-30,-6,-12,-12,1
81979983,01-01 16:46:19:983,7,9,-15,1,-1,-8,-10,16
81980036,01-01 16:46:20:36,-16,-6,4,1,1,1,-12,-28
81980080,01-01 16:46:20:80,-2,17,5,-3,0,-1,-9,-6
81980140,01-01 16:46:20:140,0,16,7,-3,3,-2,1,-12
81980178,01-01 16:46:20:178,-14,-1,2,-8,1,-6,-8,-53
81980238,01-01 16:46:20:238,-9,-13,-5,18,11,7,9,12
81980276,01-01 16:46:20:276,3,14,23,0,-1,3,2,8
81980336,01-01 16:46:20:336,3,-42,-67,-4,8,7,3,11
81980395,01-01 16:46:20:395,-1,-13,-47,-5,-3,-7,-3,1
81980441,01-01 16:46:20:441,-22,-37,-20,-3,-1,12,6,5
81980479,01-01 16:46:20:479,24,-33,-15,0,3,-2,-4,-5
81980539,01-01 16:46:20:539,-5,23,-9,-13,-9,-7,-8,6
81980599,01-01 16:46:20:599,-6,-1,2,-27,-44,-9,0,-3
81980636,01-01 16:46:20:636,6,-10,-13,-18,-2,0,-2,2
81980696,01-01 16:46:20:696,-3,-23,-92,-13,-2,0,0,-2
81980719,01-01 16:46:20:719,-1,-9,2,20,-9,0,0,-1
81980801,01-01 16:46:20:801,5,9,-77,-10,-6,1,-3,-1
81980840,01-01 16:46:20:840,2,0,7,20,21,15,3,0
81980900,01-01 16:46:20:900,7,4,39,15,-8,-2,-1,1
81980960,01-01 16:46:20:960,1,8,-10,-20,-6,-13,-10,2
81981006,01-01 16:46:21:6,3,-4,-21,19,-2,7,2,0
81981063,01-01 16:46:21:63,7,-10,32,14,7,1,9,10
81981114,01-01 16:46:21:114,14,0,-9,-5,0,-8,0,2
81981144,01-01 16:46:21:144,4,12,12,-10,0,-6,2,8
81981204,01-01 16:46:21:204,6,-5,-11,8,0,0,-3,11
81981265,01-01 16:46:21:265,-10,-21,-2,8,0,-1,-10,-8
81981318,01-01 16:46:21:318,-18,-21,-20,8,1,-4,-9,-3
81981365,01-01 16:46:21:365,14,-15,-1,-3,-2,-5,0,10
81981423,01-01 16:46:21:423,2,12,-7,7,1,-2,1,0
81981462,01-01 16:46:21:462,18,34,-18,6,-2,-1,3,11
81981522,01-01 16:46:21:522,-59,4,-55,-25,-7,-3,0,-7
81981566,01-01 16:46:21:566,1,-4,56,-1,3,3,-1,-14
81981626,01-01 16:46:21:626,16,-11,-6,3,-3,-4,1,2
81981677,01-01 16:46:21:677,15,7,-17,7,6,7,7,-8
81981725,01-01 16:46:21:725,21,12,34,-1,-10,-13,-14,14
81981783,01-01 16:46:21:783,-5,48,51,6,-1,-2,-3,2
81981822,01-01 16:46:21:822,4,-1,30,5,-9,-2,1,0
81981882,01-01 16:46:21:882,-8,3,-4,-3,3,-3,2,0
81981926,01-01 16:46:21:926,-13,-6,68,4,-13,-12,-5,-10
81981986,01-01 16:46:21:986,1,-30,11,3,-4,0,-5,-5
81982037,01-01 16:46:22:37,6,23,12,6,9,5,2,-2
81982085,01-01 16:46:22:85,4,6,39,-7,-9,-2,3,-2
81982143,01-01 16:46:22:143,-9,-2,-80,-19,17,-3,2,2
81982187,01-01 16:46:22:187,-4,-6,-42,-7,-8,2,2,0
81982240,01-01 16:46:22:240,-2,-5,-15,-4,-20,-12,-6,-2
81982292,01-01 16:46:22:292,8,29,16,19,15,12,4,3
81982346,01-01 16:46:22:346,4,7,-25,-6,-14,-8,-6,0
81982385,01-01 16:46:22:385,-3,-6,-23,-5,2,-4,-4,-2
81982445,01-01 16:46:22:445,-4,-8,-81,-12,-9,-1,-2,-3
81982488,01-01 16:46:22:488,-3,-6,-41,-21,-8,-1,-1,-8
