timestamp,formatted_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,roll_w,pitch_w,yaw_w,rssi,pose 
81977013,01-01 16:46:17:13,-0.203125,-0.833496,0.717773,-117.375,35.9375,-38.25,6,10,14,-53,unknown
81977052,01-01 16:46:17:52,-0.177734,-0.859375,0.669434,-125.562,35.5625,-23.625,6,10,14,-53,unknown
81977112,01-01 16:46:17:112,-0.297363,-1.10986,0.637695,-19.625,12.0625,-3.375,5,10,14,-53,unknown
81977149,01-01 16:46:17:149,-0.318359,-1.00146,0.689941,22.6875,-0.25,9.125,5,10,14,-53,unknown
81977209,01-01 16:46:17:209,-0.206055,-0.949219,0.607422,130.438,-17.875,22.6875,6,10,14,-53,unknown
81977269,01-01 16:46:17:269,-0.307617,-0.74707,0.738281,108.25,-15.125,31.5,6,10,14,-53,unknown
81977328,01-01 16:46:17:328,-0.248535,-0.736328,0.921875,174.5,-27.625,27.9375,7,10,14,-53,unknown
81977373,01-01 16:46:17:373,-0.312012,-0.576172,0.879883,172.812,-45.375,56.0625,7,10,14,-53,unknown
81977412,01-01 16:46:17:412,-0.271973,-0.57373,0.865234,176.5,-69.375,45.625,7,10,14,-53,unknown
81977472,01-01 16:46:17:472,-0.0522461,-0.292969,0.850098,255.75,-70.375,44.9375,8,9,15,-53,unknown
81977532,01-01 16:46:17:532,-0.078125,-0.0385742,0.870117,168.688,-76.0625,51.375,9,9,15,-53,unknown
81977568,01-01 16:46:17:568,0.059082,0.0488281,0.890137,147.812,-63.9375,38.4375,9,9,15,-53,unknown
81977629,01-01 16:46:17:629,0.0742188,0.180176,0.886719,54.875,-42.125,24.5625,9,8,15,-53,unknown
81977674,01-01 16:46:17:674,0.142578,0.271973,0.897461,-4.5625,-17.9375,3.3125,9,8,15,-53,unknown
81977734,01-01 16:46:17:734,0.14209,0.199707,0.944824,-119.812,28.1875,-18.625,9,8,15,-53,unknown
81977772,01-01 16:46:17:772,0.0722656,0.0458984,0.975098,-154.812,59.9375,-21.625,9,8,15,-53,unknown
81977832,01-01 16:46:17:832,-0.0761719,-0.175293,1.00781,-147.875,82.25,-30.5,8,9,15,-53,unknown
81977892,01-01 16:46:17:892,-0.177734,-0.302734,0.92041,-165.125,80,-39.75,8,9,15,-53,unknown
81977935,01-01 16:46:17:935,-0.236816,-0.417969,0.936035,-187.438,64.9375,-46.9375,7,9,15,-53,unknown
81977974,01-01 16:46:17:974,-0.247559,-0.526367,0.881836,-175.5,48.3125,-50.875,7,10,14,-53,unknown
81978042,01-01 16:46:18:42,-0.14209,-0.667969,0.714844,-158.938,27.3125,-44.0625,6,10,14,-53,unknown
81978094,01-01 16:46:18:94,-0.103027,-0.751465,0.646484,-113.938,21.25,-40.625,6,9,14,-53,unknown
