,start_time,end_time,walking,running1,dribbling,idle_standing,guitar_sitting,guitar_standing,shooting,guitar_foot_on_chair,idle_sitting
0,0.0,0.0,2.0,0.0,0.0,37.0,21.0,13.0,13.0,14.0,20.0
1,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,35.0
