timestamp,formatted_time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1293792,12-31 18:21:33:792,-2,0,-1,0,1,-2,1,-2
1293843,12-31 18:21:33:843,-2,-2,-1,0,1,2,-1,0
1293891,12-31 18:21:33:891,1,-1,-2,-1,-1,-1,-1,2
1293951,12-31 18:21:33:951,0,-5,-6,6,2,1,3,-1
1293988,12-31 18:21:33:988,-1,-4,-3,-4,-1,-4,-2,-1
1294053,12-31 18:21:34:53,-4,-2,21,9,-2,-4,-2,-2
1294092,12-31 18:21:34:92,-2,-3,2,11,4,1,-2,0
1294152,12-31 18:21:34:152,0,0,-4,7,4,-1,0,0
1294196,12-31 18:21:34:196,1,-3,-2,1,0,-2,-10,-1
1294251,12-31 18:21:34:251,-2,-9,-9,-8,5,1,-8,-1
1294293,12-31 18:21:34:293,-3,4,-4,-5,-1,-2,-3,-1
1294351,12-31 18:21:34:351,3,8,19,5,8,2,-2,4
1294407,12-31 18:21:34:407,-15,2,2,14,-15,-11,5,-7
1294453,12-31 18:21:34:453,8,0,-12,-8,-1,0,-23,9
1294512,12-31 18:21:34:512,-1,5,-4,-1,4,3,-6,-5
1294551,12-31 18:21:34:551,10,7,2,2,3,0,17,3
1294611,12-31 18:21:34:611,4,8,3,-1,4,-3,-13,-2
1294654,12-31 18:21:34:654,8,-4,1,1,1,0,4,5
1294714,12-31 18:21:34:714,-6,-4,-1,-3,-6,-3,5,0
1294731,12-31 18:21:34:731,2,4,0,0,4,2,0,-2
1294813,12-31 18:21:34:813,0,1,2,2,1,1,2,-1
1294851,12-31 18:21:34:851,-4,0,1,0,-2,0,-1,-2
1294911,12-31 18:21:34:911,-1,0,-1,0,5,-3,-3,-1
1294969,12-31 18:21:34:969,-3,-1,-2,0,0,-1,-2,-2
1295014,12-31 18:21:35:14,-1,-6,-1,1,-3,0,-1,-1
1295074,12-31 18:21:35:74,0,0,1,0,3,1,1,-1
1295125,12-31 18:21:35:125,-2,-3,-2,1,0,-1,0,0
1295173,12-31 18:21:35:173,-2,-1,-1,0,-2,-2,-2,-1
1295216,12-31 18:21:35:216,1,-1,0,-1,-1,0,0,0
